final_category,natural_question_count,tool_interaction_count,no_answer_count,error_count,good_feedback_count,bad_feedback_count,no_answer_rate
(カテゴリなし),225,139,30,0,1,3,0.133
システム操作,21,21,6,0,0,0,0.286
システム操作 > Staffia,19,19,2,0,0,0,0.105
システム操作 > follow,5,5,1,0,0,0,0.200
システム操作 > タレマネ,4,4,2,0,0,0,0.500
システム操作 > ビズバンス,5,5,4,0,0,0,0.800
タレマネ > 上長用,3,3,0,0,0,0,0.000
タレマネ > 社員用,13,13,1,0,0,0,0.077
制度・運用,32,32,5,0,0,0,0.156
制度・運用 > 旅費,20,20,3,1,0,0,0.150
制度・運用 > 服務,17,17,1,1,0,0,0.059
制度・運用 > 福利厚生,3,3,1,0,0,0,0.333
制度・運用 > 通勤費,4,4,0,0,0,0,0.000
旅費 > その他,4,4,1,0,0,0,0.250
旅費 > 国内,1,1,0,0,0,0,0.000
旅費 > 帰郷実費,1,1,0,0,0,0,0.000
旅費 > 海外,1,1,0,0,0,0,0.000
旅費 > 赴任,4,4,1,0,0,0,0.250
服務 > その他,3,3,2,0,0,0,0.667
服務 > キャリアスタッフ,2,2,1,0,0,0,0.500
服務 > 社員,25,25,2,0,0,0,0.080
服務 > 表彰・懲戒,1,1,1,0,0,0,1.000
未分類,16,16,3,0,0,0,0.188
福利厚生 > その他,5,5,3,0,0,0,0.600
福利厚生 > カフェテリア,1,1,0,1,0,0,0.000
福利厚生 > 住宅・社宅,5,5,0,0,0,0,0.000
福利厚生 > 財形,1,1,0,0,0,0,0.000
通勤費 > 通勤の定義,2,2,2,0,0,0,1.000
