interaction_date_jst,interaction_count,natural_question_count,reset_request_count,tool_interaction_count,no_answer_count,error_count,feedback_count,no_answer_rate,avg_latency_seconds
2026-05-19,23,17,1,14,3,0,1,0.176,5.507
2026-05-20,44,27,0,22,2,1,0,0.074,6.442
2026-05-21,31,18,1,15,2,0,0,0.111,5.765
2026-05-22,50,21,2,18,7,0,0,0.333,5.662
2026-05-25,51,33,0,27,9,0,0,0.273,5.880
2026-05-26,37,32,0,22,3,0,0,0.094,5.645
2026-05-27,132,64,7,51,6,0,2,0.094,6.409
2026-05-28,134,67,2,51,4,1,0,0.060,6.076
2026-05-29,72,41,0,36,8,0,1,0.195,6.147
2026-05-31,1,1,0,1,0,0,0,0.000,6.920
2026-06-01,49,30,1,24,6,1,0,0.200,6.518
2026-06-02,50,30,3,24,6,0,0,0.200,5.751
2026-06-03,48,27,0,24,8,0,0,0.296,6.788
2026-06-04,48,27,1,21,8,0,1,0.296,11.238
2026-06-05,8,8,0,7,0,0,0,0.000,6.771
