metric,value,definition
input_file_count,15,Total CSV files found
readable_file_count,15,Files successfully parsed
skipped_file_count,0,Files skipped due to errors or IRM/OLE
raw_event_count,2183,Total raw events extracted
interaction_count,778,Total interactions created
conversation_count,234,Total unique conversations
reset_session_count,251,Total sessions after reset boundary division
reset_request_count,18,Total interactions of type 'reset'
natural_question_count,443,Total interactions of type 'question'
tool_interaction_count,357,Interactions containing tool events
no_answer_count,72,Interactions where the bot found no answer
error_interaction_count,3,Interactions containing error events
feedback_count,5,Total feedback events
retrieval_result_count,1356,Total retrieved similar records extracted
message_id_collision_count,0,Number of message_ids appearing in multiple conversations
datetime_parse_error_count,0,Rows with unparsable datetime
